# key	kind	tui	summary	hub
INCLUDE	value	preset	1	trusted
BENCHMARK	boolean	toggle	1	trusted
GAMEMODE	boolean	toggle	1	trusted
MANGOHUD	boolean	toggle	1	trusted
MANGOHUD_LOG	boolean	toggle	0	trusted
MANGOHUD_CONFIG	value	advanced	0	trusted
MANGOHUD_CONFIGFILE	value	advanced	0	trusted
NETWORK_TUNE	boolean	toggle	1	trusted
DEBUG	boolean	toggle	0	trusted
X3D_CPUS	value	advanced	1	trusted
GAME_NIC	value	advanced	0	trusted
GAMESCOPE	boolean	toggle	1	trusted
GAMESCOPE_W	value	advanced	1	trusted
GAMESCOPE_H	value	advanced	1	trusted
GAMESCOPE_R	value	advanced	1	trusted
GAMESCOPE_ADAPTIVE_SYNC	value	advanced	0	trusted
GAMESCOPE_EXPOSE_WAYLAND	boolean	toggle	0	trusted
GAMESCOPE_FSR	boolean	toggle	0	trusted
GAMESCOPE_FSR_SHARPNESS	value	advanced	0	trusted
GAMESCOPE_EXTRA_ARGS	value	advanced	0	trusted
GAMESCOPE_PREFER_OUTPUT	value	advanced	0	trusted
GAMESCOPE_FRAME_LIMIT	value	advanced	0	trusted
GAMESCOPE_FILTER	value	advanced	0	trusted
GAMESCOPE_FOCUSED_FPS	value	advanced	0	trusted
GAMESCOPE_UNFOCUSED_FPS	value	advanced	0	trusted
GAMESCOPE_NESTED_FIX	boolean	toggle	0	trusted
SHADER_CACHE_CHECK	boolean	toggle	0	trusted
SHADER_CACHE_MAX_GB	value	advanced	0	trusted
SHADER_CACHE_TRIM	boolean	toggle	1	trusted
SHADER_CACHE_CHECK_INTERVAL_HOURS	value	advanced	0	trusted
SHADER_CACHE_BOOST	boolean	toggle	1	trusted
SHADER_CACHE_BOOST_GB	value	advanced	0	trusted
COMPATDATA_CHECK	boolean	toggle	0	trusted
COMPATDATA_MAX_GB	value	advanced	0	trusted
COMPATDATA_TRIM	boolean	toggle	0	trusted
VM_MAX_MAP_COUNT_MIN	value	advanced	0	trusted
VM_MAX_MAP_COUNT_FIX	boolean	toggle	0	trusted
VRAM_HOG_UNITS	value	advanced	0	untrusted
VRAM_HOGS	boolean	toggle	1	untrusted
VRAM_HOG_PIDS	value	advanced	0	untrusted
LAUNCH_WATCHDOG	boolean	toggle	0	trusted
LAUNCH_WRAPPERS	value	advanced	1	untrusted
LAUNCH_WRAPPERS_BEFORE	value	advanced	1	untrusted
GAME_EXTRA_ARGS	value	advanced	1	trusted
UNSET_VARS	value	advanced	1	trusted
FORCE_NATIVE	boolean	toggle	1	trusted
FORCE_PROTON	boolean	toggle	1	trusted
VRAM_PREFLIGHT_MIN_MB	value	advanced	1	trusted
PIPEWIRE_LOW_LATENCY	boolean	toggle	1	trusted
LAUNCH_LOG_MAX_LINES	value	advanced	0	trusted
PRE_LAUNCH_CMD	value	advanced	1	untrusted
POST_LAUNCH_CMD	value	advanced	1	untrusted
DISK_PREFLIGHT_MIN_GB	value	advanced	1	trusted
